# Navigation Errors
# DNS resolution failures, connection refused, network issues
# Format: [timestamp] | Category: network/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-07-02T14:39:07.352Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://jobinga.ru | Message: net::ERR_NAME_NOT_RESOLVED at https://jobinga.ru
[2025-07-02T14:39:21.817Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://scientificsonline.com | Message: net::ERR_NAME_NOT_RESOLVED at https://scientificsonline.com
[2025-07-02T14:39:53.644Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://savemod.com | Message: net::ERR_CONNECTION_REFUSED at https://savemod.com
[2025-07-02T14:40:19.137Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://righttrackwebsolutions.com | Message: net::ERR_NAME_NOT_RESOLVED at https://righttrackwebsolutions.com
[2025-07-02T14:41:10.734Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://esliteliving.com | Message: net::ERR_NAME_NOT_RESOLVED at https://esliteliving.com
[2025-07-02T14:41:18.076Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://toradex.int | Message: net::ERR_NAME_NOT_RESOLVED at https://toradex.int
[2025-07-02T14:41:34.390Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mtabsc.info | Message: net::ERR_NAME_NOT_RESOLVED at https://mtabsc.info
[2025-07-02T14:41:43.873Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://seolinkmaster.info | Message: net::ERR_NAME_NOT_RESOLVED at https://seolinkmaster.info
[2025-07-02T14:41:47.762Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://spysee.jp | Message: net::ERR_NAME_NOT_RESOLVED at https://spysee.jp
[2025-07-02T14:42:26.773Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mutualtrust.biz | Message: net::ERR_NAME_NOT_RESOLVED at https://mutualtrust.biz
[2025-07-02T14:42:29.217Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://themobilegames.net | Message: net::ERR_NAME_NOT_RESOLVED at https://themobilegames.net
[2025-07-02T14:42:43.236Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://porterscloud.com | Message: net::ERR_NAME_NOT_RESOLVED at https://porterscloud.com
[2025-07-02T14:42:47.952Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://dailyfaqs.com | Message: net::ERR_CONNECTION_REFUSED at https://dailyfaqs.com
[2025-07-02T14:42:49.850Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://prbuzz.com | Message: net::ERR_NAME_NOT_RESOLVED at https://prbuzz.com
[2025-07-02T14:42:50.335Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://plane-cash.ru | Message: net::ERR_NAME_NOT_RESOLVED at https://plane-cash.ru
[2025-07-02T14:43:02.893Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://bankdataprocessing.com | Message: net::ERR_NAME_NOT_RESOLVED at https://bankdataprocessing.com
[2025-07-02T14:43:35.648Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://baibuwang.com | Message: net::ERR_NAME_NOT_RESOLVED at https://baibuwang.com
[2025-07-02T14:43:39.289Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://sante40-tsukare.me | Message: net::ERR_NAME_NOT_RESOLVED at https://sante40-tsukare.me
[2025-07-02T14:43:52.797Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://porozmawiaj.net | Message: net::ERR_NAME_NOT_RESOLVED at https://porozmawiaj.net
[2025-07-02T14:45:15.270Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://skydoc.ir | Message: net::ERR_NAME_NOT_RESOLVED at https://skydoc.ir
[2025-07-02T14:45:18.000Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://maamp3.com | Message: net::ERR_NAME_NOT_RESOLVED at https://maamp3.com
[2025-07-02T14:45:21.463Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://tophits4u.com | Message: net::ERR_NAME_NOT_RESOLVED at https://tophits4u.com
[2025-07-02T14:45:36.361Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://dmgmail.nl | Message: net::ERR_NAME_NOT_RESOLVED at https://dmgmail.nl
[2025-07-02T14:46:05.540Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://o333o.com | Message: net::ERR_NAME_NOT_RESOLVED at https://o333o.com
[2025-07-02T14:46:05.918Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://aleuto.org | Message: net::ERR_NAME_NOT_RESOLVED at https://aleuto.org
[2025-07-02T14:46:06.210Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://clixfever.com | Message: net::ERR_NAME_NOT_RESOLVED at https://clixfever.com
[2025-07-02T14:46:08.973Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://getmyfaucetltc.com | Message: net::ERR_NAME_NOT_RESOLVED at https://getmyfaucetltc.com
[2025-07-02T14:46:09.288Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://socialinterestfreak.com | Message: net::ERR_NAME_NOT_RESOLVED at https://socialinterestfreak.com
[2025-07-02T14:46:35.715Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mh-s.ru | Message: net::ERR_NAME_NOT_RESOLVED at https://mh-s.ru
[2025-07-02T14:46:41.019Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://nakedshyteens.com | Message: net::ERR_NAME_NOT_RESOLVED at https://nakedshyteens.com
[2025-07-02T14:46:41.303Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://whatonearthcatalog.com | Message: net::ERR_NAME_NOT_RESOLVED at https://whatonearthcatalog.com
[2025-07-02T14:47:09.171Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://clipul.net | Message: net::ERR_NAME_NOT_RESOLVED at https://clipul.net
[2025-07-02T14:47:31.839Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://missmp3.info | Message: net::ERR_NAME_NOT_RESOLVED at https://missmp3.info
[2025-07-02T14:47:32.401Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://finxit.com | Message: net::ERR_CONNECTION_REFUSED at https://finxit.com
[2025-07-02T14:47:45.332Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mytechleo.com | Message: net::ERR_NAME_NOT_RESOLVED at https://mytechleo.com
[2025-07-02T14:48:15.976Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://leapzen.com | Message: net::ERR_NAME_NOT_RESOLVED at https://leapzen.com
[2025-07-02T14:48:22.479Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://portalts.tk | Message: net::ERR_NAME_NOT_RESOLVED at https://portalts.tk
[2025-07-02T14:48:29.342Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://bookmarksoneindia.in | Message: net::ERR_NAME_NOT_RESOLVED at https://bookmarksoneindia.in
[2025-07-02T14:48:46.792Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mobilecodesindia.com | Message: net::ERR_NAME_NOT_RESOLVED at https://mobilecodesindia.com
[2025-07-02T14:48:47.081Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://cbsimg.net | Message: net::ERR_NAME_NOT_RESOLVED at https://cbsimg.net
[2025-07-02T14:48:53.441Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://newsworldbd.com | Message: net::ERR_NAME_NOT_RESOLVED at https://newsworldbd.com
[2025-07-02T14:49:21.291Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://pornohaha.com | Message: net::ERR_NAME_NOT_RESOLVED at https://pornohaha.com
[2025-07-02T14:49:27.161Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://xinocavamen.com | Message: net::ERR_NAME_NOT_RESOLVED at https://xinocavamen.com
[2025-07-02T14:50:09.794Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://electronicproducts.com | Message: net::ERR_CONNECTION_REFUSED at https://electronicproducts.com
[2025-07-02T14:50:10.058Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://seks-besplatno.com | Message: net::ERR_NAME_NOT_RESOLVED at https://seks-besplatno.com
[2025-07-02T14:52:20.429Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://q-demos.com | Message: net::ERR_NAME_NOT_RESOLVED at https://q-demos.com
[2025-07-02T14:52:28.756Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://adscpm.info | Message: net::ERR_NAME_NOT_RESOLVED at https://adscpm.info
[2025-07-02T14:52:44.761Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://rayansaipa.com | Message: net::ERR_NAME_NOT_RESOLVED at https://rayansaipa.com
[2025-07-02T14:53:14.792Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://xinaho.top | Message: net::ERR_NAME_NOT_RESOLVED at https://xinaho.top
[2025-07-02T14:53:59.105Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://gcenginedb.com | Message: net::ERR_NAME_NOT_RESOLVED at https://gcenginedb.com
[2025-07-02T14:54:42.295Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://uandistar.net | Message: net::ERR_NAME_NOT_RESOLVED at https://uandistar.net
[2025-07-02T14:55:15.769Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://purpletrail.com | Message: net::ERR_CONNECTION_REFUSED at https://purpletrail.com
[2025-07-02T14:56:30.683Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://7thpaycommission.in | Message: net::ERR_NAME_NOT_RESOLVED at https://7thpaycommission.in
[2025-07-02T14:57:39.257Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://cocktorro.com | Message: net::ERR_NAME_NOT_RESOLVED at https://cocktorro.com
[2025-07-02T14:57:56.596Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://fullmoviesonline.info | Message: net::ERR_NAME_NOT_RESOLVED at https://fullmoviesonline.info
[2025-07-02T14:58:10.724Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://bollyzone.me | Message: net::ERR_NAME_NOT_RESOLVED at https://bollyzone.me
