# General Processing Errors
# Unknown or uncategorized errors
# Format: [timestamp] | URL: <url> | Message: <msg> | Error: <code>
[2025-06-30T21:56:19.763Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://taisengd.cn | Message: Navigating frame was detached
[2025-06-30T21:59:58.733Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://yiso.me | Message: Navigating frame was detached
[2025-06-30T22:00:11.419Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://dogakoleji.com | Message: net::ERR_CONNECTION_RESET at https://dogakoleji.com
[2025-06-30T22:00:54.149Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://taosf.com | Message: Navigating frame was detached
[2025-06-30T22:01:07.492Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://beroozresani.com | Message: Navigating frame was detached
[2025-06-30T22:02:09.643Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://citirewards.com | Message: Navigating frame was detached
[2025-06-30T22:03:21.548Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bjslwx.com | Message: Navigating frame was detached
[2025-06-30T22:04:01.213Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://outlookhotels.com | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T22:05:08.258Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://seovat.com | Message: Navigating frame was detached
[2025-06-30T22:05:44.995Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://fr-minecraft.net | Message: Navigating frame was detached
[2025-06-30T22:06:00.414Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://martisco.com | Message: Navigating frame was detached
[2025-06-30T22:06:06.522Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://airteltrickz.com | Message: Navigating frame was detached
[2025-06-30T22:07:31.307Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://qqj.cn | Message: Navigating frame was detached
[2025-06-30T22:07:47.375Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://idebate.org | Message: Navigating frame was detached
[2025-06-30T22:08:51.226Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://topica.vn | Message: Navigating frame was detached
[2025-06-30T22:09:21.355Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://financedriver.com | Message: Navigating frame was detached
[2025-06-30T22:10:02.042Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://planet-source-code.com | Message: Navigating frame was detached
[2025-06-30T22:10:03.790Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nintendo-master.com | Message: net::ERR_ABORTED at https://nintendo-master.com
[2025-06-30T22:10:06.433Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://e-patternscentral.com | Message: Navigating frame was detached
[2025-06-30T22:10:07.514Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://seikatsu-kojo.jp | Message: Navigating frame was detached
[2025-06-30T22:10:36.852Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://alegrecompra.com | Message: Navigating frame was detached
[2025-06-30T22:10:37.642Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nametumbler.com | Message: Navigating frame was detached
[2025-06-30T22:10:52.515Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://gw2spidy.com | Message: Navigating frame was detached
[2025-06-30T22:11:40.002Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://diccionaris.cat | Message: net::ERR_ABORTED at https://diccionaris.cat
[2025-06-30T22:12:12.238Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://2144.cn | Message: Navigating frame was detached
[2025-06-30T22:12:12.868Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://cookbook-r.com | Message: Navigating frame was detached
[2025-06-30T22:12:22.718Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pclinuxos.com | Message: Navigating frame was detached
[2025-06-30T22:12:42.376Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://mixads.com | Message: Navigating frame was detached
[2025-06-30T22:12:43.351Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://reliphone.jp | Message: Navigating frame was detached
[2025-06-30T22:13:14.612Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://kia.ca | Message: Navigating frame was detached
[2025-06-30T22:16:16.992Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bookmark-manager.com | Message: Navigating frame was detached
[2025-06-30T22:16:24.171Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pt220.com | Message: Navigating frame was detached
[2025-06-30T22:16:53.888Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://intamedia.ir | Message: Navigating frame was detached
[2025-06-30T22:16:54.825Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://serialm.com | Message: Navigating frame was detached
[2025-06-30T22:18:14.537Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://thesettlersonline.fr | Message: Navigating frame was detached
[2025-06-30T22:18:56.911Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bestbuy-jobs.com | Message: Navigating frame was detached
[2025-06-30T22:19:12.174Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://atlaskhodro.com | Message: Navigating frame was detached
[2025-06-30T22:19:53.093Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://techarena.org | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T22:20:20.496Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bostonpizza.com | Message: Navigating frame was detached
[2025-06-30T22:20:52.424Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://wtvip.com | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T22:21:40.104Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://mash-xxl.info | Message: Navigating frame was detached
[2025-06-30T22:21:53.696Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://tgiblackfriday.com | Message: Navigating frame was detached
[2025-06-30T22:22:23.833Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://wildcraft.in | Message: Navigating frame was detached
[2025-06-30T22:23:12.160Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://hesapkurdu.com | Message: Navigating frame was detached
[2025-06-30T22:23:24.054Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://guiadosquadrinhos.com | Message: net::ERR_CONNECTION_RESET at https://guiadosquadrinhos.com
[2025-06-30T22:23:41.342Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://waypointoutcomes.com | Message: net::ERR_TOO_MANY_REDIRECTS at https://waypointoutcomes.com
[2025-06-30T22:24:01.838Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://songonlyrics.net | Message: Navigating frame was detached
[2025-06-30T22:24:02.730Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://buch24.de | Message: Navigating frame was detached
[2025-06-30T22:24:11.589Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://lezhuan.com | Message: Navigating frame was detached
[2025-06-30T22:25:18.037Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://umoncton.ca | Message: Navigating frame was detached
[2025-06-30T22:25:19.451Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://photos-images.net | Message: Navigating frame was detached
[2025-06-30T22:26:28.597Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://hiclip.ir | Message: Navigating frame was detached
[2025-06-30T22:26:50.523Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://8seasons.com | Message: Navigating frame was detached
[2025-06-30T22:26:59.247Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://webshopapps.com | Message: Navigating frame was detached
[2025-06-30T22:27:54.378Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bestbuydir.com | Message: Navigating frame was detached
[2025-06-30T22:28:26.517Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://gamemo.com | Message: net::ERR_QUIC_PROTOCOL_ERROR at https://gamemo.com
