# Access Control Errors
# Authentication failures, rate limiting, bot detection, CDN protection
# Format: [timestamp] | Category: access/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-09-01T17:57:46.267Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.drumhellerraptorshockey.com | Message: net::ERR_TIMED_OUT at http://www.drumhellerraptorshockey.com
[2025-09-01T18:12:21.735Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.e-lubon.pl | Message: Page was closed during navigation checks
[2025-09-01T18:20:38.778Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.eating.nyc | Message: net::ERR_TIMED_OUT at http://www.eating.nyc
[2025-09-01T18:21:07.986Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.eatlittlebird.com | Message: net::ERR_TIMED_OUT at http://www.eatlittlebird.com
[2025-09-01T18:23:26.789Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.ebadta.com | Message: net::ERR_TIMED_OUT at http://www.ebadta.com
[2025-09-01T18:56:23.353Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.elle.ua | Message: net::ERR_TIMED_OUT at http://www.elle.ua
[2025-09-01T18:57:11.137Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.elmaiscurioso.com | Message: net::ERR_TIMED_OUT at http://www.elmaiscurioso.com
[2025-09-01T19:01:07.127Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.elrincondechava.com | Message: net::ERR_TIMED_OUT at http://www.elrincondechava.com
[2025-09-01T19:15:29.857Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.englishhistory.net | Message: net::ERR_ABORTED at http://www.englishhistory.net
[2025-09-01T19:22:29.228Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.entamesports.com | Message: Page was closed during navigation checks
[2025-09-01T19:24:43.435Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.epapersaimat.com | Message: net::ERR_TIMED_OUT at http://www.epapersaimat.com
[2025-09-01T19:32:33.320Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.erome.website | Message: net::ERR_TIMED_OUT at http://www.erome.website
[2025-09-01T19:34:19.061Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.eslkidsgames.com | Message: net::ERR_ABORTED at http://www.eslkidsgames.com
[2025-09-01T19:49:33.703Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.evaktija.com | Message: net::ERR_HTTP2_PROTOCOL_ERROR at http://www.evaktija.com
[2025-09-01T19:58:08.233Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.exawarosu.net | Message: net::ERR_TIMED_OUT at http://www.exawarosu.net
[2025-09-01T20:18:31.647Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.familycompoundliving.com | Message: net::ERR_TIMED_OUT at http://www.familycompoundliving.com
[2025-09-01T20:18:45.387Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.familyfaithfinance.com | Message: net::ERR_TIMED_OUT at http://www.familyfaithfinance.com
[2025-09-01T20:39:21.644Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.feedme.design | Message: net::ERR_TIMED_OUT at http://www.feedme.design
[2025-09-01T20:47:03.787Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.femminilestile.com | Message: net::ERR_ABORTED at http://www.femminilestile.com
[2025-09-01T20:52:50.683Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fights.cz | Message: Page was closed during navigation checks
[2025-09-01T20:52:50.691Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fightwithkash.com | Message: Page was closed during navigation checks
[2025-09-01T20:58:23.088Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.finansavisen.no | Message: net::ERR_TOO_MANY_REDIRECTS at http://www.finansavisen.no
[2025-09-01T21:02:12.977Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.firedupseaside.com | Message: net::ERR_TOO_MANY_REDIRECTS at http://www.firedupseaside.com
